"name,group,year,value,subGroup",",c","ity_id,lastValue,lat,lon"
"Sample Prep,Sample Prep,2016,42561293.27,Sample Prep,Sample Prep",-,"India,200,27.18333,78.01667"
"Sample Analysis,Sample Analysis,2016,48343880.26,Sample Analysis,Sample Analysis",-,"India,200,27.18333,78.01667"
"Reporters and Signaling,Reporters and Signaling,2016,51018838.22,Reporters and Signaling,Reporters and Signaling",-,"India,212,27.18333,78.01667"
"Proteomics and Cloning,Proteomics and Cloning,2016,27784565.57,Proteomics and Cloning,Proteomics and Cloning",-,"India,224,27.18333,78.01667"
"Other,Other,2016,1413277.99,Other,Other",-,"India,236,27.18333,78.01667"
"Genetic Identity,Genetic Identity,2016,66939136.86,Genetic Identity,Genetic Identity",-,"India,248,27.18333,78.01667"
"Custom Assay Services,Custom Assay Services,2016,4118667.96,Custom Assay Services,Custom Assay Services",-,"India,260,27.18333,78.01667"
"Clinical Diagnostics,Clinical Diagnostics,2016,21630753.72,Clinical Diagnostics,Clinical Diagnostics",-,"India,272,27.18333,78.01667"
"Cell Health,Cell Health,2016,47512477.58,Cell Health,Cell Health",-,"India,284,27.18333,78.01667"
"Biologics,Biologics,2016,6206118.35,Biologics,Biologics",-,"India,296,27.18333,78.01667"
"Applied Products,Applied Products,2016,12500,Applied Products,Applied Products",-,"India,308,27.18333,78.01667"
"Sample Prep,Sample Prep,2017,58708555.54,Sample Prep,Sample Prep",-,"India,320,27.18333,78.01667"
"Sample Analysis,Sample Analysis,2017,59536244.78,Sample Analysis,Sample Analysis",-,"India,332,27.18333,78.01667"
"Reporters and Signaling,Reporters and Signaling,2017,63852468.22,Reporters and Signaling,Reporters and Signaling",-,"India,344,27.18333,78.01667"
"Proteomics and Cloning,Proteomics and Cloning,2017,32845685.22,Proteomics and Cloning,Proteomics and Cloning",-,"India,356,27.18333,78.01667"
"Other,Other,2017,2128354.71,Other,Other",-,"India,368,27.18333,78.01667"
"Genetic Identity,Genetic Identity,2017,85486989.55,Genetic Identity,Genetic Identity",-,"India,380,27.18333,78.01667"
"Custom Assay Services,Custom Assay Services,2017,5457321.5,Custom Assay Services,Custom Assay Services",-,"India,392,27.18333,78.01667"
"Clinical Diagnostics,Clinical Diagnostics,2017,26930260.9,Clinical Diagnostics,Clinical Diagnostics",-,"India,404,27.18333,78.01667"
"Cell Health,Cell Health,2017,58328835.07,Cell Health,Cell Health",-,"India,416,27.18333,78.01667"
"Biologics,Biologics,2017,10279862.98,Biologics,Biologics",-,"India,428,27.18333,78.01667"
"Applied Products,Applied Products,2017,62257.32,Applied Products,Applied Products",-,"India,440,27.18333,78.01667"
"Sample Prep,Sample Prep,2018,66153557.75,Sample Prep,Sample Prep",-,"India,452,27.18333,78.01667"
"Sample Analysis,Sample Analysis,2018,59027692.78,Sample Analysis,Sample Analysis",-,"India,464,27.18333,78.01667"
"Reporters and Signaling,Reporters and Signaling,2018,66402448.61,Reporters and Signaling,Reporters and Signaling",-,"India,476,27.18333,78.01667"
"Proteomics and Cloning,Proteomics and Cloning,2018,34438081.82,Proteomics and Cloning,Proteomics and Cloning",-,"India,488,27.18333,78.01667"
"Other,Other,2018,452696.73,Other,Other",-,"India,500,27.18333,78.01667"
"Genetic Identity,Genetic Identity,2018,85624929.46,Genetic Identity,Genetic Identity",-,"India,500,27.18333,78.01667"
"Custom Assay Services,Custom Assay Services,2018,5197543.95,Custom Assay Services,Custom Assay Services",-,"India,500,27.18333,78.01667"
"Clinical Diagnostics,Clinical Diagnostics,2018,34723525.77,Clinical Diagnostics,Clinical Diagnostics",-,"India,500,27.18333,78.01667"
"Cell Health,Cell Health,2018,62955617.99,Cell Health,Cell Health",-,"India,500,27.18333,78.01667"
"Biologics,Biologics,2018,13344126.82,Biologics,Biologics",-,"India,500,27.18333,78.01667"
"Applied Products,Applied Products,2018,149144.65,Applied Products,Applied Products",-,"India,500,27.18333,78.01667"
